doubling every 4 days;doubling every 10 days;doubling every 15 days;doubling every 20 days;India;US;Spain;Germany;United Kingdom;Korea, South;Japan;date
100.0;100.0;100.0;100.0;102.0;103.0;120.0;130.0;134.0;104.0;112.0;0
118.9207115002721;107.17734625362931;104.72941228206267;103.52649238413775;113.0;172.0;165.0;159.0;189.0;204.0;137.0;1
141.4213562373095;114.86983549970351;109.68249796946259;107.17734625362931;119.0;215.0;222.0;196.0;246.0;433.0;149.0;2
168.1792830507429;123.11444133449163;114.86983549970351;110.9569472067845;142.0;337.0;259.0;262.0;295.0;602.0;160.0;3
200.0;131.9507910772894;120.30250360821167;114.86983549970351;156.0;450.0;400.0;482.0;374.0;833.0;173.0;4
237.8414230005442;141.4213562373095;125.99210498948732;118.9207115002721;194.0;515.0;500.0;670.0;429.0;977.0;192.0;5
282.842712474619;151.5716566510398;131.9507910772894;123.11444133449163;244.0;713.0;673.0;799.0;483.0;1261.0;218.0;6
336.3585661014858;162.4504792712471;138.1912879967776;127.45606273192622;330.0;1105.0;1073.0;1040.0;630.0;1766.0;236.0;7
400.0;174.11011265922482;144.7269237440378;131.9507910772894;396.0;1530.0;1695.0;1176.0;889.0;2337.0;245.0;8
475.6828460010884;186.60659830736148;151.5716566510398;136.60402567543954;499.0;2115.0;2277.0;1457.0;1301.0;3150.0;259.0;9
565.685424949238;200.0;158.74010519681994;141.4213562373095;536.0;2814.0;2277.0;1908.0;1790.0;3736.0;278.0;10
672.7171322029716;214.35469250725862;166.24757922855756;146.40856959456255;657.0;2986.0;5232.0;2078.0;2270.0;4335.0;298.0;11
800.0;229.73967099940697;174.11011265922482;151.5716566510398;727.0;4354.0;6391.0;3675.0;2634.0;5186.0;333.0;12
951.3656920021768;246.22888266898326;182.34449771164336;156.91681957935015;887.0;5970.0;7798.0;4585.0;3077.0;5621.0;365.0;13
1131.370849898476;263.9015821545788;190.9683207820833;162.4504792712471;987.0;8386.0;9942.0;5795.0;3692.0;6088.0;420.0;14
1345.4342644059432;282.842712474619;200.0;168.1792830507429;1024.0;12674.0;11748.0;7272.0;4462.0;6593.0;466.0;15
1600.0;303.14331330207966;209.45882456412534;174.11011265922482;1251.0;18736.0;13910.0;9257.0;5467.0;7041.0;499.0;16
1902.7313840043537;324.9009585424942;219.36499593892518;180.25009252216603;1397.0;24508.0;17963.0;12327.0;6533.0;7314.0;527.0;17
2262.741699796952;348.22022531844965;229.73967099940697;186.60659830736148;1998.0;33152.0;20410.0;15320.0;7791.0;7478.0;585.0;18
2690.8685288118863;373.21319661472296;240.60500721642333;193.1872657849691;2543.0;43850.0;25374.0;19848.0;9006.0;7513.0;640.0;19
3200.0;400.0;251.98420997897463;200.0;2567.0;54112.0;28768.0;22213.0;10395.0;7755.0;696.0;20
3805.4627680087074;428.70938501451724;263.9015821545788;207.0529847682755;3082.0;66055.0;35136.0;24873.0;12744.0;7869.0;733.0;21
4525.483399593904;459.47934199881405;276.3825759935552;214.35469250725862;3588.0;83611.0;39885.0;29056.0;15126.0;7979.0;795.0;22
5381.737057623773;492.4577653379664;289.4538474880756;221.91389441356898;4778.0;102101.0;49515.0;32986.0;17843.0;8086.0;826.0;23
6400.0;527.8031643091576;303.14331330207966;229.73967099940697;5311.0;122059.0;57786.0;37323.0;20970.0;8162.0;843.0;24
7610.925536017415;565.685424949238;317.48021039363994;237.8414230005442;5916.0;141205.0;65719.0;43938.0;24219.0;8236.0;893.0;25
9050.966799187809;606.2866266041593;332.4951584571151;246.22888266898326;6725.0;162707.0;73235.0;50871.0;27062.0;8320.0;928.0;26
10763.474115247545;649.8019170849884;348.22022531844965;254.91212546385245;7598.0;188744.0;80110.0;57695.0;29954.0;8413.0;968.0;27
12800.0;696.4404506368992;364.6889954232867;263.9015821545788;8446.0;214205.0;87956.0;62095.0;34281.0;8565.0;1022.0;28
15221.85107203483;746.4263932294459;381.9366415641666;273.2080513508791;9205.0;244610.0;95923.0;66885.0;38815.0;8652.0;1059.0;29
18101.933598375617;800.0;400.0;282.842712474619;10453.0;276547.0;104118.0;71808.0;43789.0;8799.0;1104.0;30
21526.94823049509;857.4187700290345;418.9176491282508;292.8171391891251;11487.0;309699.0;112065.0;77872.0;48718.0;8961.0;1144.0;31
25600.0;918.9586839976281;438.72999187785035;303.14331330207966;12322.0;337573.0;119199.0;84794.0;53699.0;8961.0;1217.0;32
30443.70214406966;984.9155306759328;459.47934199881405;313.83363915870024;13430.0;367215.0;126168.0;91159.0;57772.0;9037.0;1314.0;33
36203.867196751235;1055.6063286183153;481.21001443284666;324.9009585424942;14352.0;397992.0;131646.0;96092.0;61422.0;9137.0;1416.0;34
43053.89646099018;1131.370849898476;503.96841995794927;336.3585661014858;15722.0;429686.0;136675.0;100123.0;66738.0;9241.0;1530.0;35
51200.0;1212.5732532083186;527.8031643091576;348.22022531844965;17615.0;464442.0;141942.0;103374.0;72224.0;9332.0;1728.0;36
60887.40428813932;1299.6038341699768;552.7651519871105;360.5001850443321;18539.0;497943.0;148220.0;107663.0;77387.0;9478.0;1907.0;37
72407.73439350247;1392.8809012737984;578.9076949761512;373.21319661472296;20080.0;527969.0;153222.0;113296.0;82293.0;9583.0;2001.0;38
86107.79292198036;1492.8527864588918;606.2866266041593;386.3745315699382;21370.0;556522.0;158273.0;118181.0;86660.0;9661.0;2255.0;39
102400.0;1600.0;634.9604207872798;400.0;23077.0;581813.0;163027.0;122171.0;90273.0;9786.0;2535.0;40
121774.80857627864;1714.8375400580687;664.9903169142302;414.10596953655096;24530.0;608878.0;166831.0;124908.0;93812.0;9887.0;2818.0;41
144815.46878700494;1837.9173679952562;696.4404506368992;428.70938501451724;26283.0;637974.0;170099.0;127854.0;98017.0;9976.0;3154.0;42
172215.58584396073;1969.8310613518656;729.3779908465734;443.82778882713797;27890.0;669272.0;172541.0;130072.0;102365.0;10062.0;3525.0;43
204800.0;2111.2126572366315;763.8732831283331;459.47934199881405;29451.0;701996.0;177644.0;131359.0;107465.0;10156.0;3876.0;44
243549.61715255727;2262.741699796952;800.0;475.6828460010884;31324.0;730266.0;184948.0;134753.0;112808.0;10237.0;4110.0;45
289630.9375740099;2425.1465064166364;837.8352982565016;492.4577653379664;33062.0;756544.0;190839.0;137698.0;117798.0;10284.0;4485.0;46
344431.17168792145;2599.2076683399537;877.4599837557007;509.8242509277049;34863.0;783931.0;191726.0;141397.0;122534.0;10331.0;5020.0;47
409600.0;2785.7618025475967;918.9586839976281;527.8031643091576;37257.0;809295.0;198674.0;143342.0;126394.0;10384.0;5614.0;48
487099.23430511454;2985.7055729177846;962.4200288656933;546.4161027017583;39699.0;837627.0;200210.0;145184.0;131260.0;10423.0;6250.0;49
579261.8751480198;3200.0;1007.9368399158985;565.685424949238;42505.0;871617.0;204178.0;147065.0;136035.0;10450.0;6951.0;50
688862.3433758429;3429.6750801161375;1055.6063286183153;585.6342783782501;46437.0;907908.0;208389.0;148291.0;141540.0;10480.0;7473.0;51
819200.0;3675.8347359905124;1105.530303974221;606.2866266041593;49400.0;940829.0;213024.0;150648.0;146708.0;10512.0;7773.0;52
974198.4686102291;3939.6621227037313;1157.8153899523024;627.6672783174005;52987.0;968518.0;202990.0;153129.0;151689.0;10537.0;8277.0;53
1158523.7502960395;4222.425314473263;1212.5732532083186;649.8019170849884;56351.0;990983.0;205905.0;154999.0;155453.0;10564.0;8835.0;54
1377724.6867516858;4525.483399593904;1269.9208415745595;672.7171322029716;59695.0;1015518.0;207634.0;156513.0;158926.0;10591.0;9398.0;55
1638400.0;4850.293012833273;1329.9806338284604;696.4404506368992;62808.0;1043038.0;209465.0;157770.0;163630.0;10613.0;9958.0;56
1948396.9372204582;5198.415336679907;1392.8809012737984;721.0003700886642;67161.0;1072667.0;210773.0;158758.0;168357.0;10635.0;10548.0;57
2317047.500592079;5571.5236050951935;1458.7559816931469;746.4263932294459;70768.0;1106829.0;212917.0;159912.0;173807.0;10653.0;10914.0;58
2755449.3735033716;5971.411145835569;1527.7465662566663;772.7490631398766;74292.0;1136024.0;213435.0;161539.0;178771.0;10661.0;11258.0;59
3276800.0;6400.0;1600.0;800.0;78055.0;1161611.0;215216.0;163009.0;183501.0;10674.0;11641.0;60
3896793.8744409163;6859.350160232275;1675.6705965130025;828.2119390731019;81997.0;1184086.0;216582.0;164077.0;186731.0;10683.0;12037.0;61
4634095.001184158;7351.669471981025;1754.919967511402;857.4187700290345;85784.0;1208271.0;217466.0;164967.0;189708.0;10694.0;12469.0;62
5510898.747006743;7879.3242454074625;1837.9173679952562;887.6555776542759;90648.0;1233527.0;218011.0;165664.0;193091.0;10708.0;12854.0;63
6553600.0;8444.850628946526;1924.8400577313867;918.9586839976281;95698.0;1261409.0;219329.0;166152.0;196780.0;10718.0;13186.0;64
7793587.748881833;9050.966799187809;2015.8736798317968;951.3656920021768;100328.0;1288587.0;220325.0;167007.0;200616.0;10728.0;13405.0;65
9268190.002368316;9700.586025666546;2111.2126572366315;984.9155306759328;106475.0;1314320.0;221447.0;168162.0;204387.0;10738.0;13576.0;66
11021797.494013486;10396.830673359815;2211.060607948442;1019.6485018554098;112028.0;1334084.0;222857.0;169430.0;207439.0;10752.0;13860.0;67
13107200.0;11143.047210190387;2315.630779904605;1055.6063286183153;118226.0;1352962.0;223578.0;170588.0;209589.0;10761.0;14076.0;68
15587175.497763665;11942.822291671138;2425.1465064166364;1092.8322054035166;124794.0;1375152.0;224350.0;171324.0;211911.0;10765.0;14284.0;69
18536380.004736632;12800.0;2539.8416831491195;1131.370849898476;131423.0;1396110.0;227436.0;171879.0;215500.0;10774.0;14558.0;70
22043594.988026973;13718.70032046455;2659.961267656921;1171.2685567565002;138536.0;1423727.0;228030.0;172576.0;218895.0;10780.0;14861.0;71
26214400.0;14703.33894396205;2785.7618025475967;1212.5732532083186;144950.0;1449027.0;228691.0;173171.0;222195.0;10793.0;15061.0;72
31174350.99552733;15758.648490814925;2917.5119633862932;1255.334556634801;150793.0;1474128.0;229540.0;174098.0;224813.0;10801.0;15229.0;73
37072760.009473264;16889.70125789305;3055.4931325133334;1299.6038341699768;158086.0;1493132.0;230183.0;174478.0;227334.0;10804.0;15354.0;74
44087189.976053946;18101.933598375617;3200.0;1345.4342644059432;165386.0;1514901.0;230698.0;175233.0;229406.0;10806.0;15455.0;75
52428800.0;19401.17205133309;3351.341193026005;1392.8809012737984;173491.0;1535350.0;230698.0;175752.0;231232.0;10810.0;15553.0;76
62348701.99105466;20793.66134671963;3509.839935022804;1442.0007401773285;181827.0;1559157.0;231606.0;176369.0;233809.0;10822.0;15640.0;77
74145520.01894653;22286.094420380774;3675.8347359905124;1492.8527864588918;190609.0;1584512.0;232037.0;176551.0;236867.0;10840.0;15755.0;78
88174379.95210789;23885.644583342277;3849.6801154627733;1545.4981262797533;198370.0;1608653.0;232555.0;177778.0;239579.0;10874.0;15824.0;79
104857600.0;25600.0;4031.7473596635937;1600.0;207191.0;1630476.0;233037.0;178473.0;242133.0;10909.0;15861.0;80
124697403.98210932;27437.4006409291;4222.425314473263;1656.4238781462038;216824.0;1651289.0;234824.0;179021.0;244174.0;10936.0;15948.0;81
148291040.03789306;29406.67788792408;4422.121215896884;1714.8375400580687;226713.0;1670280.0;235290.0;179710.0;245682.0;10962.0;15998.0;82
176348759.90421578;31517.296981629876;4631.26155980921;1775.3111553085525;236184.0;1689163.0;235772.0;179986.0;247037.0;10991.0;16096.0;83
209715200.0;33779.4025157861;4850.293012833273;1837.9173679952562;246622.0;1707445.0;235400.0;180328.0;248650.0;11018.0;16148.0;84
249394807.96421865;36203.867196751235;5079.683366298239;1902.7313840043537;257486.0;1730260.0;236259.0;180600.0;250309.0;11037.0;16202.0;85
296582080.0757861;38802.34410266618;5319.922535313842;1969.8310613518656;265928.0;1754764.0;236259.0;181200.0;252118.0;11050.0;16226.0;86
352697519.80843157;41587.32269343924;5571.5236050951935;2039.297003710819;276146.0;1779214.0;237906.0;181524.0;253854.0;11065.0;16259.0;87
419430400.0;44572.18884076158;5835.0239267725865;2111.2126572366315;286605.0;1799124.0;238564.0;182196.0;255362.0;11078.0;16287.0;88
498789615.9284373;47771.28916668455;6110.986265026667;2185.664410807033;297535.0;1816479.0;239228.0;182922.0;256469.0;11110.0;16321.0;89
593164160.1515722;51200.0;6400.0;2262.741699796952;308993.0;1837374.0;239479.0;183189.0;257539.0;11122.0;16362.0;90
705395039.6168631;54874.8012818582;6702.68238605201;2342.5371135130003;320922.0;1857332.0;239638.0;183410.0;258983.0;11142.0;16385.0;91
838860800.0;58813.35577584816;7019.679870045608;2425.1465064166364;332424.0;1878683.0;239932.0;183594.0;260453.0;11165.0;16410.0;92
997579231.8568746;63034.59396325975;7351.669471981025;2510.669113269603;343091.0;1903907.0;240326.0;183879.0;261802.0;11190.0;16451.0;93
1186328320.3031445;67558.8050315722;7699.360230925547;2599.2076683399537;354065.0;1926639.0;240660.0;184121.0;263040.0;11206.0;16472.0;94
1410790079.2337263;72407.73439350247;8063.494719327187;2690.8685288118863;366946.0;1944370.0;240978.0;184472.0;264150.0;11225.0;16502.0;95
1677721600.0;77604.68820533236;8444.850628946526;2785.7618025475967;380532.0;1961785.0;241310.0;184924.0;264944.0;11265.0;16528.0;96
1995158463.7137492;83174.64538687847;8844.242431793768;2884.001480354656;395048.0;1979912.0;241550.0;185450.0;265662.0;11344.0;16598.0;97
2372656640.606289;89144.37768152315;9262.52311961842;2985.7055729177846;410451.0;2000706.0;241717.0;185750.0;266756.0;11402.0;16673.0;98
2821580158.4674525;95542.5783333691;9700.586025666546;3090.9962525595065;425282.0;2023656.0;241966.0;186109.0;267915.0;11441.0;16716.0;99
3355443200.0;102400.0;10159.366732596478;3200.0;440215.0;2048986.0;242280.0;186506.0;269101.0;11468.0;16751.0;100
3990316927.4274983;109749.6025637164;10639.845070627684;3312.8477562924077;456183.0;2074542.0;242707.0;186522.0;270108.0;11503.0;16787.0;101
4745313281.212578;117626.71155169632;11143.047210190387;3429.6750801161375;473105.0;2094366.0;243209.0;186691.0;271162.0;11541.0;16837.0;102
5643160316.934905;126069.1879265195;11670.047853545173;3550.622310617105;490401.0;2114026.0;243605.0;187226.0;272050.0;11590.0;16867.0;103
